order_id,order_timestamp,order_date,user_id,r_id,restaurant_city,cuisine,items_count,sales_qty,subtotal,discount,delivery_fee,gst,sales_amount,currency,payment_method,order_status,customer_rating,delivery_time_min
1,2025-06-11 15:55:36,2025-06-11,18871,366828,"Ameerpet,Hyderabad","Sweets,Desserts",1,1,223,0,0,11,234,INR,UPI,Delivered,4.0,29.0
2,2024-11-17 17:26:05,2024-11-17,89236,100236,Panipat,Desserts,4,4,648,216,20,32,484,INR,UPI,Cancelled,,
3,2025-04-23 09:22:46,2025-04-23,91540,224710,"HSR,Bangalore","Beverages,Chinese",4,4,340,127,15,17,245,INR,UPI,Delivered,3.0,42.0
4,2026-01-24 18:19:11,2026-01-24,8216,379140,"Kukatpally,Hyderabad",Chinese,1,1,77,13,25,4,93,INR,Card,Delivered,,54.0
5,2024-10-19 11:34:32,2024-10-19,88525,508894,"Chukkuwala,Dehradun","Ice Cream,Desserts",2,2,122,0,20,6,148,INR,COD,Delivered,,26.0
6,2026-05-16 10:06:41,2026-05-16,88076,511965,"Zirakpur,Chandigarh","North Indian,Chinese",2,2,463,0,35,23,521,INR,COD,Delivered,4.0,13.0
7,2026-01-04 12:37:21,2026-01-04,95764,509065,"Mehdipatnam,Hyderabad","Fast Food,American",1,2,438,0,0,22,460,INR,Wallet,Delivered,,42.0
8,2026-02-21 15:51:20,2026-02-21,7903,50671,"Indirapuram,Delhi","Beverages,Ice Cream",1,1,100,31,15,5,89,INR,UPI,Delivered,4.0,46.0
9,2026-01-18 18:38:22,2026-01-18,98993,477473,"Greenfields_FBD,Gurgaon","Beverages,Fast Food",3,3,326,0,0,16,342,INR,UPI,Delivered,,15.0
10,2024-09-01 12:32:12,2024-09-01,87494,393834,Siddipet,"Arabian,Biryani",1,1,88,0,20,4,112,INR,Wallet,Delivered,,24.0
11,2025-08-17 18:01:48,2025-08-17,76572,332045,Thiruvallur,"Snacks,Fast Food",2,2,303,0,35,15,353,INR,UPI,Delivered,5.0,35.0
12,2026-01-31 15:44:23,2026-01-31,93696,46712,"North Mohali,Chandigarh","Fast Food,Snacks",5,7,583,0,15,29,627,INR,Wallet,Delivered,4.0,29.0
13,2026-04-12 16:47:05,2026-04-12,93610,421074,"Ameerpet,Hyderabad","Punjabi,Snacks",4,4,346,0,25,17,388,INR,UPI,Cancelled,,
14,2024-08-25 19:53:53,2024-08-25,50147,434374,"Panampilly Nagar,Kochi","Arabian,Kerala",1,1,176,19,35,9,201,INR,COD,Delivered,5.0,16.0
15,2025-11-25 09:47:31,2025-11-25,51452,374222,"Greater Mohali,Chandigarh","Indian,North Indian",3,3,260,30,20,13,263,INR,UPI,Delivered,,36.0
16,2024-07-08 13:26:29,2024-07-08,42808,442546,"Banjara Hills,Hyderabad","North Indian,Chinese",2,2,180,0,0,9,189,INR,UPI,Delivered,4.0,41.0
17,2025-03-06 21:26:55,2025-03-06,28498,359468,"South Kolkata,Kolkata",Sweets,1,1,109,0,49,5,163,INR,UPI,Delivered,3.0,24.0
18,2026-05-19 12:12:20,2026-05-19,48039,22404,"Mylapore,Chennai","Bakery,Fast Food",3,3,725,287,15,36,489,INR,UPI,Delivered,4.0,34.0
19,2024-05-16 20:03:52,2024-05-16,30735,525799,"Athwa,Surat",South Indian,1,2,490,0,25,24,539,INR,COD,Delivered,,43.0
20,2026-02-12 22:54:26,2026-02-12,19941,76397,"Bopal,Ahmedabad","Pizzas,Pastas",4,4,808,0,35,40,883,INR,UPI,Refunded,,
21,2024-06-16 20:15:49,2024-06-16,34090,210509,Sivasagar,"Assamese,Chinese",1,1,85,0,0,4,89,INR,Card,Delivered,5.0,56.0
22,2025-10-16 13:55:45,2025-10-16,51573,548301,"Lingampally & Nalagandla,Hyderabad","Bakery,Beverages",2,3,278,64,20,14,248,INR,Card,Delivered,,27.0
23,2025-01-19 14:54:37,2025-01-19,5851,453436,"Arumbakkam,Chennai","Indian,Chinese",1,1,214,38,20,11,207,INR,UPI,Delivered,3.0,24.0
24,2025-12-28 23:04:33,2025-12-28,61394,61983,"Jayanagar,Bangalore","Chinese,South Indian",2,4,769,0,0,38,807,INR,UPI,Delivered,4.0,25.0
25,2025-10-27 19:55:10,2025-10-27,5603,106261,Erode,"Desserts,Continental",3,3,236,0,15,12,263,INR,COD,Delivered,4.0,31.0
26,2024-07-26 12:32:33,2024-07-26,54445,281229,Jabalpur,"Indian,Chinese",1,2,380,87,15,19,327,INR,Card,Delivered,4.0,45.0
27,2025-06-16 22:29:41,2025-06-16,3625,14439,"Swargate,Pune","North Indian,Chinese",3,4,932,0,20,47,999,INR,Wallet,Delivered,5.0,30.0
28,2025-08-03 19:05:51,2025-08-03,42666,452254,Dimapur,"American,Snacks",3,4,953,0,20,48,1021,INR,UPI,Delivered,4.0,44.0
29,2024-01-21 21:19:57,2024-01-21,56663,9830,"Connaught Place,Delhi",North Indian,1,1,307,0,25,15,347,INR,COD,Delivered,5.0,54.0
30,2025-09-13 18:29:46,2025-09-13,9903,438671,"Vasant Kunj,Delhi","Bakery,Pizzas",2,2,236,59,0,12,189,INR,COD,Delivered,,30.0
31,2025-12-31 17:43:30,2025-12-31,59583,223395,Rajahmundry,"Biryani,Indian",1,1,104,37,25,5,97,INR,COD,Delivered,3.0,20.0
32,2024-06-17 19:18:40,2024-06-17,5965,484596,"Bavdhan,Pune","American,Snacks",2,2,583,180,25,29,457,INR,COD,Delivered,5.0,56.0
33,2024-10-24 12:22:45,2024-10-24,66903,352313,"Guindy,Chennai",South Indian,2,2,264,0,35,13,312,INR,Card,Delivered,5.0,16.0
34,2024-01-13 07:33:16,2024-01-13,14229,258392,Anantapur,"Pizzas,Beverages",5,5,745,0,0,37,782,INR,Card,Delivered,,36.0
35,2026-02-18 09:43:49,2026-02-18,22231,477530,"Gandhipuram,Coimbatore",Beverages,2,2,113,0,20,6,139,INR,UPI,Delivered,5.0,23.0
36,2025-10-10 17:11:40,2025-10-10,39408,254364,Tirupati,"Pizzas,Continental",2,3,429,0,0,21,450,INR,Card,Delivered,5.0,35.0
37,2024-09-13 18:13:35,2024-09-13,80532,433669,Mahbubnagar,"South Indian,Indian",2,2,167,0,35,8,210,INR,UPI,Delivered,4.0,23.0
38,2025-06-04 19:25:38,2025-06-04,23027,483755,"Lingampally & Nalagandla,Hyderabad","Ice Cream,Beverages",2,2,302,108,0,15,209,INR,UPI,Delivered,,37.0
39,2025-03-28 10:42:52,2025-03-28,81180,55633,"Wakad,Pune","Healthy Food,Salads",3,3,360,0,25,18,403,INR,COD,Delivered,5.0,43.0
40,2025-04-06 13:44:27,2025-04-06,50075,572677,"Kondapur,Hyderabad","Arabian,Chinese",2,2,268,71,15,13,225,INR,Card,Cancelled,,
41,2024-04-24 22:50:18,2024-04-24,58873,261729,"Himayath Nagar,Hyderabad","Desserts,Beverages",2,2,161,0,35,8,204,INR,UPI,Delivered,,30.0
42,2024-10-21 00:52:59,2024-10-21,94937,238769,Ambikapur,"Chinese,North Indian",2,4,920,0,49,46,1015,INR,UPI,Delivered,5.0,34.0
43,2025-06-30 22:27:15,2025-06-30,45331,404680,"Howrah,Kolkata",Indian,2,2,314,47,20,16,303,INR,Card,Delivered,,35.0
44,2026-03-26 09:27:37,2026-03-26,43635,94193,Jodhpur,North Indian,3,4,505,97,20,25,453,INR,Wallet,Delivered,3.0,19.0
45,2025-01-13 21:38:44,2025-01-13,16196,43727,"Rohini,Delhi",Snacks,2,2,288,0,20,14,322,INR,Card,Delivered,,17.0
46,2025-03-22 19:45:39,2025-03-22,46987,204348,"Kilpauk,Chennai","North Indian,Punjabi",2,3,819,0,15,41,875,INR,UPI,Delivered,3.0,41.0
47,2025-09-14 08:42:46,2025-09-14,30970,146481,"Laxmi Nagar,Delhi","Bakery,Desserts",4,8,1166,174,35,58,1085,INR,UPI,Delivered,2.0,35.0
48,2024-10-04 12:08:51,2024-10-04,22625,487445,"JP Nagar,Bangalore","Biryani,Chinese",1,2,240,0,0,12,252,INR,COD,Delivered,4.0,52.0
49,2025-12-17 08:35:00,2025-12-17,17940,244228,Noida-1,"North Indian,Thalis",1,1,50,7,0,2,45,INR,COD,Delivered,,38.0
50,2026-05-16 09:32:02,2026-05-16,10852,395577,"Banashankari,Bangalore",Indian,2,3,126,0,20,6,152,INR,Wallet,Delivered,5.0,35.0
51,2026-03-02 13:39:08,2026-03-02,56724,243736,"OMR Navalur,Chennai","Biryani,South Indian",5,5,872,0,25,44,941,INR,COD,Delivered,,35.0
52,2025-05-13 08:55:06,2025-05-13,43348,381270,"Greater Mohali,Chandigarh","Thalis,Chinese",3,4,591,170,20,30,471,INR,Card,Delivered,,42.0
53,2024-11-14 20:01:53,2024-11-14,19344,370341,"Greater Mohali,Chandigarh","Indian,Chinese",2,3,258,36,15,13,250,INR,UPI,Delivered,5.0,44.0
54,2026-05-19 08:15:39,2026-05-19,73347,468270,"Howrah,Kolkata","North Indian,Chinese",3,5,697,222,49,35,559,INR,UPI,Delivered,5.0,18.0
55,2025-08-28 04:12:19,2025-08-28,69590,495655,Jabalpur,Bakery,1,1,73,17,20,4,80,INR,COD,Delivered,4.0,43.0
56,2025-04-27 18:50:54,2025-04-27,5837,466318,"Madhapur,Hyderabad","Pizzas,Snacks",1,1,144,0,35,7,186,INR,Wallet,Delivered,,10.0
57,2026-06-11 13:01:44,2026-06-11,32430,288399,"South Chd,Chandigarh","Beverages,Ice Cream",2,2,613,153,15,31,506,INR,COD,Delivered,,52.0
58,2024-02-04 17:36:29,2024-02-04,64376,259205,"Kothapet & Dilsukhnagar,Hyderabad","Pizzas,Ice Cream",5,8,1508,399,35,75,1219,INR,Wallet,Delivered,4.0,31.0
59,2026-03-23 12:47:06,2026-03-23,57726,54977,"Laxmi Nagar,Delhi","North Indian,Chinese",2,2,400,142,49,20,327,INR,Card,Delivered,5.0,10.0
60,2025-03-21 17:13:55,2025-03-21,30365,446568,"JP Nagar,Bangalore","Ice Cream,Desserts",2,3,788,0,15,39,842,INR,COD,Delivered,3.0,32.0
61,2025-11-16 12:41:40,2025-11-16,37766,382780,"Electronic City,Bangalore","Andhra,Biryani",2,2,319,0,20,16,355,INR,COD,Delivered,4.0,29.0
62,2026-01-07 14:55:05,2026-01-07,87407,441738,Noida-1,"Snacks,Beverages",2,3,916,0,20,46,982,INR,COD,Delivered,,22.0
63,2025-09-23 22:11:09,2025-09-23,577,15713,"Nungambakkam,Chennai","Mexican,North Indian",1,1,171,0,20,9,200,INR,Card,Delivered,3.0,39.0
64,2025-02-12 12:07:28,2025-02-12,63939,124209,Rewa,"North Indian,Desserts",1,1,114,0,25,6,145,INR,Wallet,Delivered,5.0,30.0
65,2025-08-27 06:48:50,2025-08-27,87400,58022,"Urapakkam,Chennai","South Indian,North Indian",1,2,488,0,20,24,532,INR,UPI,Delivered,,12.0
66,2024-08-13 17:39:07,2024-08-13,20842,576899,"Yelahanka,Bangalore",North Indian,2,4,340,121,15,17,251,INR,COD,Delivered,,28.0
67,2025-07-12 12:50:09,2025-07-12,49033,111411,"Governorpet,Vijayawada","South Indian,Andhra",3,3,214,0,35,11,260,INR,UPI,Delivered,4.0,40.0
68,2024-03-28 12:17:24,2024-03-28,45788,333843,Central-goa,"Indian,Chinese",2,5,600,0,35,30,665,INR,NetBanking,Cancelled,,
69,2024-02-03 16:55:45,2024-02-03,10634,484971,"Wakad,Pune","North Indian,Arabian",2,2,269,74,0,13,208,INR,Wallet,Delivered,,41.0
70,2024-06-28 11:52:32,2024-06-28,27458,377523,Bahadurgarh,"Chinese,Continental",2,2,69,0,49,3,121,INR,UPI,Refunded,,
71,2024-05-20 21:08:19,2024-05-20,66587,243441,"Chandkheda,Ahmedabad","North Indian,Italian",2,2,660,0,15,33,708,INR,Wallet,Delivered,,36.0
72,2026-04-15 19:14:45,2026-04-15,1428,548823,"Suncity & Bandlaguda,Hyderabad",North Indian,1,1,119,0,15,6,140,INR,UPI,Delivered,5.0,38.0
73,2025-01-11 12:58:44,2025-01-11,92659,16374,"Alwal,Hyderabad",Pizzas,3,3,335,71,0,17,281,INR,UPI,Delivered,,36.0
74,2025-12-01 19:26:52,2025-12-01,32595,429425,Bhilwara,"Snacks,Fast Food",2,2,219,0,20,11,250,INR,UPI,Delivered,,38.0
75,2025-07-06 10:22:48,2025-07-06,79772,352907,"Banashankari,Bangalore","Fast Food,American",1,2,434,0,0,22,456,INR,COD,Delivered,,34.0
76,2026-04-05 15:46:34,2026-04-05,52343,72165,"Kothrud,Pune","North Indian,Chinese",1,2,314,0,20,16,350,INR,UPI,Delivered,3.0,27.0
77,2025-11-20 23:48:02,2025-11-20,45256,465861,"Pimple Saudagar,Pune","Chaat,Street Food",1,1,69,0,35,3,107,INR,Card,Delivered,5.0,26.0
78,2025-01-21 10:15:50,2025-01-21,2033,148216,Sagar,"North Indian,Snacks",1,1,165,50,49,8,172,INR,UPI,Delivered,5.0,24.0
79,2024-01-24 12:44:53,2024-01-24,31099,182734,Bhiwadi,North Indian,1,1,72,0,0,4,76,INR,Card,Delivered,3.0,29.0
80,2025-08-18 09:03:31,2025-08-18,52805,566203,"Mogappair,Chennai","Healthy Food,Pizzas",2,2,197,0,15,10,222,INR,UPI,Delivered,5.0,27.0
81,2024-07-13 14:01:29,2024-07-13,55915,335177,Gorakhpur,Indian,1,1,50,20,20,2,52,INR,Card,Delivered,3.0,34.0
82,2026-06-29 17:53:06,2026-06-29,87594,513194,"Dilshad Gardens,Delhi","Chinese,Italian",1,1,147,0,25,7,179,INR,Card,Delivered,,58.0
83,2025-09-08 13:04:08,2025-09-08,5611,379393,"Ramanathapuram,Coimbatore","Kerala,North Indian",3,3,686,0,20,34,740,INR,UPI,Delivered,5.0,42.0
84,2025-09-16 15:29:13,2025-09-16,19537,461882,"Manikonda,Hyderabad","Indian,Chinese",4,5,899,0,20,45,964,INR,Wallet,Delivered,4.0,24.0
85,2026-04-01 15:08:49,2026-04-01,89237,208628,"Whitefield,Bangalore",Desserts,1,1,75,0,15,4,94,INR,UPI,Delivered,5.0,38.0
86,2024-04-29 15:23:28,2024-04-29,25227,452971,"Gachibowli,Hyderabad",Bakery,1,1,69,0,49,3,121,INR,UPI,Delivered,4.0,19.0
87,2025-04-20 14:38:55,2025-04-20,87794,142005,Jodhpur,South Indian,1,1,168,0,25,8,201,INR,UPI,Delivered,,42.0
88,2026-03-06 12:19:21,2026-03-06,26997,156122,"Attapur,Hyderabad","North Indian,Punjabi",1,2,570,0,25,28,623,INR,COD,Delivered,4.0,38.0
89,2026-02-13 20:42:57,2026-02-13,24313,65168,"Panchkula,Chandigarh","Pastas,Pizzas",4,5,1043,0,0,52,1095,INR,NetBanking,Delivered,4.0,9.0
90,2024-08-20 19:50:41,2024-08-20,86785,376052,"Panampilly Nagar,Kochi","Ice Cream,Desserts",1,2,142,0,20,7,169,INR,UPI,Delivered,3.0,37.0
