order_item_id,order_id,r_id,f_id,price,quantity,line_amount
1,1,366828,fd538029,223,1,223
2,2,100236,fd1042651,87,1,87
3,2,100236,fd499871,197,1,197
4,2,100236,fd52023,241,1,241
5,2,100236,fd939967,123,1,123
6,3,224710,fd1274,120,1,120
7,3,224710,fd47270,70,1,70
8,3,224710,fd5404,90,1,90
9,3,224710,fd47161,60,1,60
10,4,379140,fd50804,77,1,77
11,5,508894,fd298756,62,1,62
12,5,508894,fd17774,60,1,60
13,6,511965,fd348357,152,1,152
14,6,511965,fd310458,311,1,311
15,7,509065,fd377459,219,2,438
16,8,50671,fd317920,100,1,100
17,9,477473,fd419560,125,1,125
18,9,477473,fd958479,76,1,76
19,9,477473,fd419560,125,1,125
20,10,393834,fd760332,88,1,88
21,11,332045,fd19851,140,1,140
22,11,332045,fd136921,163,1,163
23,12,46712,fd834159,65,1,65
24,12,46712,fd120202,53,1,53
25,12,46712,fd261496,131,1,131
26,12,46712,fd18407,113,2,226
27,12,46712,fd228307,54,2,108
28,13,421074,fd800383,119,1,119
29,13,421074,fd92401,58,1,58
30,13,421074,fd381931,50,1,50
31,13,421074,fd800383,119,1,119
32,14,434374,fd992310,176,1,176
33,15,374222,fd106767,93,1,93
34,15,374222,fd106767,93,1,93
35,15,374222,fd265795,74,1,74
36,16,442546,fd539214,90,1,90
37,16,442546,fd539214,90,1,90
38,17,359468,fd266269,109,1,109
39,18,22404,fd725876,257,1,257
40,18,22404,fd911399,234,1,234
41,18,22404,fd911399,234,1,234
42,19,525799,fd857108,245,2,490
43,20,76397,fd5792,275,1,275
44,20,76397,fd5835,149,1,149
45,20,76397,fd5760,129,1,129
46,20,76397,fd112893,255,1,255
47,21,210509,fd1048185,85,1,85
48,22,548301,fd145212,120,1,120
49,22,548301,fd810228,79,2,158
50,23,453436,fd922869,214,1,214
51,24,61983,fd958565,88,1,88
52,24,61983,fd341437,227,3,681
53,25,106261,fd90579,53,1,53
54,25,106261,fd357914,51,1,51
55,25,106261,fd357214,132,1,132
56,26,281229,fd240055,190,2,380
57,27,14439,fd618288,150,1,150
58,27,14439,fd159736,222,2,444
59,27,14439,fd99113,338,1,338
60,28,452254,fd508409,210,1,210
61,28,452254,fd131918,323,1,323
62,28,452254,fd508409,210,2,420
63,29,9830,fd923860,307,1,307
64,30,438671,fd30700,128,1,128
65,30,438671,fd769367,108,1,108
66,31,223395,fd174289,104,1,104
67,32,484596,fd422027,348,1,348
68,32,484596,fd715747,235,1,235
69,33,352313,fd835754,120,1,120
70,33,352313,fd777627,144,1,144
71,34,258392,fd59082,100,1,100
72,34,258392,fd650679,100,1,100
73,34,258392,fd646889,105,1,105
74,34,258392,fd650830,150,1,150
75,34,258392,fd650690,290,1,290
