review_id,order_id,user_id,restaurant_id,rating,comment,review_date
1,781348,38898,431632,4,Great eco-friendly packaging. Delivered right on time.,2025-07-15
2,3583010,2176,337664,2,Far too expensive for what you get.,2025-05-27
3,2881594,34878,177824,3,An average experience overall.,2025-03-20
4,2614042,8485,523405,5,The delivery partner was polite and helpful.,2025-05-29
5,6072697,54998,461181,5,Great eco-friendly packaging.,2024-11-25
6,4355801,8820,330030,2,Gravy spilled all over the bag.,2025-12-03
7,8526348,51683,50642,5,"Great eco-friendly packaging. Authentic taste, cooked perfectly.",2024-06-21
8,9618844,94010,532252,2,"Oily, stale and tasteless. Far too expensive for what you get.",2025-03-22
9,9293457,11792,215230,3,An average experience overall.,2024-07-04
10,7119338,92769,551997,4,The food was absolutely delicious.,2025-12-21
11,1183756,65231,444365,5,"Smooth, hassle-free experience. Great value for the price.",2025-10-24
12,7367250,46221,547264,5,"Authentic taste, cooked perfectly. Smooth, hassle-free experience.",2025-03-08
13,8624821,47612,522883,5,Super fast delivery.,2026-06-04
14,286616,22890,350794,4,Totally worth every rupee.,2024-03-03
15,1618127,70587,397247,4,The delivery partner was polite and helpful.,2024-05-19
16,903674,10922,242022,4,Great eco-friendly packaging.,2024-06-24
17,6970420,47792,261824,1,Gravy spilled all over the bag.,2025-02-22
18,9012655,60926,412326,3,"Fine, would maybe order again.",2025-09-21
19,8065914,74533,558777,4,One of the best meals i've ordered. Totally worth every rupee.,2026-02-01
20,8585468,4285,197575,1,"Oily, stale and tasteless. Gravy spilled all over the bag.",2024-03-03
21,1687711,91631,371824,5,Great value for the price. One of the best meals i've ordered.,2024-02-06
22,4711494,46877,377222,5,Arrived earlier than expected. Totally worth every rupee.,2025-09-12
23,2919919,96427,311486,4,The food was absolutely delicious.,2025-12-25
24,1430503,58963,258386,5,One of the best meals i've ordered.,2025-10-18
25,4134682,80152,469823,5,The food was absolutely delicious. Great value for the price.,2025-12-08
26,3072578,62336,441657,4,Great value for the price. Neatly packed with no spills.,2024-11-21
27,1083258,22225,548392,4,Super fast delivery.,2024-09-09
28,269752,56248,131453,1,"Oily, stale and tasteless. Gravy spilled all over the bag.",2024-06-20
29,1988871,87910,332166,4,Delivered right on time.,2024-02-15
30,8830081,9065,371479,4,"The delivery partner was polite and helpful. Authentic taste, cooked perfectly.",2026-04-20
31,7630892,72708,483576,4,The delivery partner was polite and helpful. The food was absolutely delicious.,2025-10-18
32,3661909,31204,385272,5,Neatly packed with no spills.,2024-06-11
33,4747765,59356,429552,5,Totally worth every rupee. Delivered right on time.,2024-02-22
34,4359765,41711,577243,5,"Authentic taste, cooked perfectly. Totally worth every rupee.",2024-11-30
35,6268966,51956,84450,3,Decent but could be better.,2024-09-29
36,1283019,91006,432038,5,"Fresh, hot and full of flavor.",2024-02-10
37,7044832,8393,266289,5,Neatly packed with no spills.,2025-11-26
38,3705181,74453,468391,5,"Smooth, hassle-free experience.",2024-12-08
39,2013259,76485,41442,2,The delivery partner was rude.,2025-06-14
40,3447132,86689,543752,5,Totally worth every rupee. Arrived earlier than expected.,2026-02-12
41,2773344,58909,464264,5,"Authentic taste, cooked perfectly.",2025-02-17
42,598746,25198,372702,2,The delivery partner was rude. Gravy spilled all over the bag.,2026-02-16
43,9552074,81146,365328,4,The delivery partner was polite and helpful. Great eco-friendly packaging.,2024-07-17
44,4548484,58516,432884,2,The packaging leaked everywhere. Quality has really dropped lately.,2025-10-25
45,51385,18384,61441,4,Arrived earlier than expected.,2026-02-25
46,768482,89974,102217,3,"Fine, would maybe order again.",2026-02-18
47,836142,73764,511012,5,Totally worth every rupee.,2024-04-24
48,5739434,31883,293425,4,One of the best meals i've ordered.,2024-03-14
49,9246911,94647,81658,4,Great eco-friendly packaging.,2025-08-31
50,5692708,48833,54972,2,"Got the wrong order entirely. Oily, stale and tasteless.",2026-06-14
51,2636395,75777,531870,5,Great value for the price.,2024-01-29
52,5381803,61635,120649,4,Delivered right on time.,2025-09-14
53,8723496,3826,556005,5,"Smooth, hassle-free experience.",2024-11-23
54,8466382,29309,557723,5,Totally worth every rupee. Great eco-friendly packaging.,2026-03-10
55,7895234,40956,297224,5,Neatly packed with no spills. The delivery partner was polite and helpful.,2024-06-14
56,9087382,11912,529448,5,"Great value for the price. Smooth, hassle-free experience.",2024-04-04
57,5537662,59401,414589,2,Far too expensive for what you get.,2026-06-13
58,6732356,55397,504983,5,Totally worth every rupee.,2024-06-20
59,1546295,35862,324100,1,Arrived way too late. Far too expensive for what you get.,2025-11-08
60,8832747,51221,557787,4,Great eco-friendly packaging. Totally worth every rupee.,2024-11-03
61,527508,8349,430938,4,Great eco-friendly packaging.,2025-12-21
62,3840708,33666,74684,4,One of the best meals i've ordered. Great eco-friendly packaging.,2024-07-20
63,9905602,33306,469866,3,"Fine, would maybe order again.",2025-01-16
64,2163750,83596,491299,5,The food was absolutely delicious.,2024-03-14
65,8887024,98133,557322,4,The delivery partner was polite and helpful.,2026-01-01
66,6347546,93556,494249,5,Totally worth every rupee. Great eco-friendly packaging.,2024-07-04
67,2989498,74446,367413,4,"Arrived earlier than expected. Authentic taste, cooked perfectly.",2025-02-23
68,3010850,84443,536893,5,"Fresh, hot and full of flavor.",2024-08-11
69,7067146,89515,554876,1,The packaging leaked everywhere.,2026-01-10
70,9616378,67116,435810,5,Super fast delivery.,2024-09-29
71,1555529,34690,25563,3,Decent but could be better.,2025-01-06
72,2192464,74339,157453,5,"Smooth, hassle-free experience. Great eco-friendly packaging.",2024-08-15
73,9575272,30237,386546,2,The delivery partner was rude.,2024-05-20
74,4502072,19553,541331,3,An average experience overall.,2024-05-24
75,5695352,34268,352829,5,Delivered right on time. Great eco-friendly packaging.,2026-04-29
76,7992431,19016,236385,2,The packaging leaked everywhere. The delivery partner was rude.,2024-06-20
77,6289896,51002,163401,1,Arrived way too late.,2024-01-15
78,884166,38621,9273,1,Overpriced and not worth it. Quality has really dropped lately.,2026-03-27
79,422400,47904,409250,4,The delivery partner was polite and helpful.,2024-09-14
80,4507706,33666,194552,5,Great value for the price. Super fast delivery.,2024-10-07
81,3498193,53784,570734,5,Totally worth every rupee. The delivery partner was polite and helpful.,2024-04-18
82,2813515,96759,27058,1,Arrived way too late. The packaging leaked everywhere.,2024-05-12
83,5066831,19458,550307,4,The delivery partner was polite and helpful. Delivered right on time.,2024-03-07
84,3518757,76766,512184,5,Delivered right on time.,2026-03-09
85,115364,67209,510540,2,Gravy spilled all over the bag. Arrived way too late.,2026-03-08
86,4090249,9859,18913,4,"Smooth, hassle-free experience. Super fast delivery.",2026-06-11
87,2478317,81420,206009,4,"Arrived earlier than expected. Smooth, hassle-free experience.",2025-07-25
88,7056960,32550,90245,5,Delivered right on time.,2025-01-08
89,960017,30102,551533,4,"Neatly packed with no spills. Smooth, hassle-free experience.",2024-04-28
90,6575081,17612,168012,5,"Fresh, hot and full of flavor. Smooth, hassle-free experience.",2025-01-26
91,5177707,7101,544892,5,"Fresh, hot and full of flavor. Arrived earlier than expected.",2025-12-22
92,5523665,90568,378205,2,Quality has really dropped lately. Delivery took over an hour.,2024-01-21
93,3147935,87608,453410,4,"Authentic taste, cooked perfectly.",2024-05-13
94,533924,92867,481668,4,Totally worth every rupee. Delivered right on time.,2026-05-22
95,1910626,48827,104556,5,The food was absolutely delicious. The delivery partner was polite and helpful.,2025-03-03
96,8588568,56280,553012,3,"Fine, would maybe order again.",2025-08-24
97,5238432,23516,126207,5,"Authentic taste, cooked perfectly.",2024-07-06
98,3826498,12589,483760,5,One of the best meals i've ordered.,2025-02-06
99,9657451,18609,561629,5,"The delivery partner was polite and helpful. Authentic taste, cooked perfectly.",2024-02-22
100,3488814,61434,17437,5,"Totally worth every rupee. Smooth, hassle-free experience.",2024-03-09
101,551991,33712,381626,1,Far too expensive for what you get. The food was cold and bland.,2025-02-10
